image_path,room_id,property_group,sub_area,final_label,raw_w,raw_h,corrected_w,corrected_h,exif_orientation,orientation_after,aspect_ratio_corrected
D:\data science\CNN\A33 A single attach\A33 A Single attach. .jpg,A33 A single attach,A33,Room,CLEAN,4000,2250,2250,4000,6,portrait,0.5625
D:\data science\CNN\A33 A single attach\IMG_20260918_104751.jpg,A33 A single attach,A33,Room,CLEAN,4000,2250,2250,4000,6,portrait,0.5625
D:\data science\CNN\A33 A single attach\IMG_20260918_104756.jpg,A33 A single attach,A33,Room,CLEAN,4000,2250,2250,4000,6,portrait,0.5625
D:\data science\CNN\A33 A single attach\IMG_20260918_104801.jpg,A33 A single attach,A33,Room,CLEAN,4000,2250,2250,4000,6,portrait,0.5625
D:\data science\CNN\A33 A single attach\IMG_20260918_104805.jpg,A33 A single attach,A33,Room,CLEAN,4000,2250,2250,4000,6,portrait,0.5625
D:\data science\CNN\A33 A single attach\IMG_20260918_104828.jpg,A33 A single attach,A33,Room,CLEAN,4000,2250,2250,4000,6,portrait,0.5625
D:\data science\CNN\A33 C double common\A33 C double Common.jpg,A33 C double common,A33,Room,CLEAN,4000,2250,2250,4000,6,portrait,0.5625
D:\data science\CNN\A33 C double common\IMG_20260918_105110.jpg,A33 C double common,A33,Room,CLEAN,4000,2250,2250,4000,6,portrait,0.5625
D:\data science\CNN\A33 C double common\IMG_20260918_105117.jpg,A33 C double common,A33,Room,CLEAN,4000,2250,2250,4000,6,portrait,0.5625
D:\data science\CNN\A33 C double common\IMG_20260918_105124.jpg,A33 C double common,A33,Room,CLEAN,4000,2250,2250,4000,6,portrait,0.5625
D:\data science\CNN\A33 C double common\IMG_20260918_105135.jpg,A33 C double common,A33,Room,CLEAN,4000,2250,2250,4000,6,portrait,0.5625
D:\data science\CNN\A33 C double common\IMG_20260918_105143.jpg,A33 C double common,A33,Room,CLEAN,4000,2250,2250,4000,6,portrait,0.5625
D:\data science\CNN\A33 C double common\IMG_20260918_105157.jpg,A33 C double common,A33,Room,NOT_CLEAN,4000,2250,2250,4000,6,portrait,0.5625
D:\data science\CNN\A33 C double common\IMG_20260918_105203.jpg,A33 C double common,A33,Room,NOT_CLEAN,4000,2250,2250,4000,6,portrait,0.5625
D:\data science\CNN\A33 C double common\IMG_20260918_105215.jpg,A33 C double common,A33,Room,CLEAN,4000,2250,2250,4000,6,portrait,0.5625
D:\data science\CNN\A33 C double common\IMG_20260918_105219.jpg,A33 C double common,A33,Room,CLEAN,4000,2250,2250,4000,6,portrait,0.5625
D:\data science\CNN\A33 C double common\IMG_20260918_105224.jpg,A33 C double common,A33,Room,CLEAN,4000,2250,2250,4000,6,portrait,0.5625
D:\data science\CNN\A33 C double common\IMG_20260918_105241.jpg,A33 C double common,A33,Room,CLEAN,4000,2250,2250,4000,6,portrait,0.5625
D:\data science\CNN\A33 C double common\IMG_20260918_105245.jpg,A33 C double common,A33,Room,CLEAN,4000,2250,2250,4000,6,portrait,0.5625
D:\data science\CNN\A34 A single attach\A34 A Single attach.jpg,A34 A single attach,A34,Room,CLEAN,4000,2250,2250,4000,6,portrait,0.5625
D:\data science\CNN\A34 A single attach\IMG_20260918_104319.jpg,A34 A single attach,A34,Room,CLEAN,4000,2250,2250,4000,6,portrait,0.5625
D:\data science\CNN\A34 A single attach\IMG_20260918_104324.jpg,A34 A single attach,A34,Room,CLEAN,4000,2250,2250,4000,6,portrait,0.5625
D:\data science\CNN\A34 A single attach\IMG_20260918_104330.jpg,A34 A single attach,A34,Room,CLEAN,4000,2250,2250,4000,6,portrait,0.5625
D:\data science\CNN\A34 A single attach\IMG_20260918_104334.jpg,A34 A single attach,A34,Room,CLEAN,4000,2250,2250,4000,6,portrait,0.5625
D:\data science\CNN\A34 A single attach\IMG_20260918_104337.jpg,A34 A single attach,A34,Room,CLEAN,4000,2250,2250,4000,6,portrait,0.5625
D:\data science\CNN\A34 A single attach\IMG_20260918_104358.jpg,A34 A single attach,A34,Room,CLEAN,4000,2250,2250,4000,6,portrait,0.5625
D:\data science\CNN\A34 A single attach\IMG_20260918_104414.jpg,A34 A single attach,A34,Room,CLEAN,4000,2250,2250,4000,6,portrait,0.5625
D:\data science\CNN\A34 A single attach\IMG_20260918_104444.jpg,A34 A single attach,A34,Room,CLEAN,4000,2250,2250,4000,6,portrait,0.5625
D:\data science\CNN\A34 A single attach\IMG_20260918_104514.jpg,A34 A single attach,A34,Room,CLEAN,4000,2250,2250,4000,6,portrait,0.5625
D:\data science\CNN\A34 B double attach\A34 B double attach.jpg,A34 B double attach,A34,Room,NOT_CLEAN,4000,2250,2250,4000,6,portrait,0.5625
D:\data science\CNN\A34 B double attach\IMG_20260918_103815.jpg,A34 B double attach,A34,Room,NOT_CLEAN,4000,2250,2250,4000,6,portrait,0.5625
D:\data science\CNN\A34 B double attach\IMG_20260918_103820.jpg,A34 B double attach,A34,Room,NOT_CLEAN,4000,2250,2250,4000,6,portrait,0.5625
D:\data science\CNN\A34 B double attach\IMG_20260918_103827.jpg,A34 B double attach,A34,Room,NOT_CLEAN,4000,2250,2250,4000,6,portrait,0.5625
D:\data science\CNN\A34 B double attach\IMG_20260918_103844.jpg,A34 B double attach,A34,Room,NOT_CLEAN,4000,2250,2250,4000,6,portrait,0.5625
D:\data science\CNN\A34 B double attach\IMG_20260918_103854.jpg,A34 B double attach,A34,Room,NOT_CLEAN,4000,2250,2250,4000,6,portrait,0.5625
D:\data science\CNN\A34 B double attach\IMG_20260918_103858.jpg,A34 B double attach,A34,Room,NOT_CLEAN,4000,2250,2250,4000,6,portrait,0.5625
D:\data science\CNN\A34 B double attach\IMG_20260918_104015.jpg,A34 B double attach,A34,Room,NOT_CLEAN,4000,2250,2250,4000,6,portrait,0.5625
D:\data science\CNN\A34 B double attach\IMG_20260918_104031.jpg,A34 B double attach,A34,Room,NOT_CLEAN,4000,2250,2250,4000,6,portrait,0.5625
D:\data science\CNN\B41 B double attach\B41  B Double attach.jpg,B41 B double attach,B41,Room,CLEAN,4000,2250,2250,4000,6,portrait,0.5625
