dataset_version,source_dataset,room_id,property_group,sub_area,image_file,image_path,label,human_reason,orientation,previously_used_for,in_original_manifest
v2_new_a11_a12,external_validation_inventory.csv,A11 B Double Attached,A11,Room,IMG-20260923-WA0016.jpg,A11 B Double Attached/IMG-20260923-WA0016.jpg,CLEAN,"Floor and surfaces are clean, bed made under the mosquito net, desk and dustbin in place; belongings are reasonably arranged and the room looks neat.",landscape,external validation of the v1 demo model,no
v2_new_a11_a12,external_validation_inventory.csv,A11 B Double Attached,A11,Room,IMG-20260923-WA0020.jpg,A11 B Double Attached/IMG-20260923-WA0020.jpg,CLEAN,"Wall, doorway and wardrobe are clean with nothing discarded; the room is reasonably organized.",landscape,external validation of the v1 demo model,no
v2_new_a11_a12,external_validation_inventory.csv,A11 B Double Attached,A11,Room,IMG-20260923-WA0022.jpg,A11 B Double Attached/IMG-20260923-WA0022.jpg,CLEAN,"Tiles are clean, both beds are made, the desk is tidy and the dustbin and mat are in place; the room looks neat.",portrait,external validation of the v1 demo model,no
v2_new_a11_a12,external_validation_inventory.csv,A11 B Double Attached,A11,Room,IMG-20260923-WA0023.jpg,A11 B Double Attached/IMG-20260923-WA0023.jpg,CLEAN,"Jackets are hung on wall hooks rather than left lying around, and the floor and doorway are clean.",portrait,external validation of the v1 demo model,no
v2_new_a11_a12,external_validation_inventory.csv,A11 B Double Attached,A11,Room,IMG-20260923-WA0024.jpg,A11 B Double Attached/IMG-20260923-WA0024.jpg,CLEAN,"Shoes are kept on a shelf, the bin is in use and the floor is clean; the wall-base stain is a maintenance issue, not housekeeping dirt.",portrait,external validation of the v1 demo model,no
v2_new_a11_a12,external_validation_inventory.csv,A11 B Double Attached,A11,Room,IMG-20260923-WA0025.jpg,A11 B Double Attached/IMG-20260923-WA0025.jpg,CLEAN,Close floor view shows clean tiles with a mat and a suitcase stored under the bed; no waste or debris.,portrait,external validation of the v1 demo model,no
v2_new_a11_a12,external_validation_inventory.csv,A11 C Double common,A11,Room,IMG-20260923-WA0053.jpg,A11 C Double common/IMG-20260923-WA0053.jpg,NOT_CLEAN,"Towels and cloth are dumped on the floor, cables trail across the tiles and boxes and slippers are left around the desk, so the room looks visibly untidy although the tiles are clean.",portrait,external validation of the v1 demo model,no
v2_new_a11_a12,external_validation_inventory.csv,A11 C Double common,A11,Room,IMG-20260923-WA0054.jpg,A11 C Double common/IMG-20260923-WA0054.jpg,NOT_CLEAN,"Cartons, shoes and bags are left on the floor between the beds and the desk is crowded with loose items, making the room visibly untidy despite the clean floor.",portrait,external validation of the v1 demo model,no
v2_new_a11_a12,external_validation_inventory.csv,A11 C Double common,A11,Room,IMG-20260923-WA0055.jpg,A11 C Double common/IMG-20260923-WA0055.jpg,CLEAN,"AC, curtain and doorway are clean with no waste or dirt, and no belongings are left scattered in view.",portrait,external validation of the v1 demo model,no
v2_new_a11_a12,external_validation_inventory.csv,A11 C Double common,A11,Room,IMG-20260923-WA0056.jpg,A11 C Double common/IMG-20260923-WA0056.jpg,NOT_CLEAN,"A laundry basket is overflowing with clothes spilling onto the floor, backpacks are dropped beside it and a plastic sheet lies on the tiles.",portrait,external validation of the v1 demo model,no
v2_new_a11_a12,external_validation_inventory.csv,A11 C Double common,A11,Room,IMG-20260923-WA0057.jpg,A11 C Double common/IMG-20260923-WA0057.jpg,NOT_CLEAN,"A backpack and bags are left on the floor beside the wardrobe and clothing is draped over the wardrobe edge, so the belongings are not properly arranged even though the floor is clean.",portrait,external validation of the v1 demo model,no
v2_new_a11_a12,external_validation_inventory.csv,A11 C Double common,A11,Room,IMG-20260923-WA0058.jpg,A11 C Double common/IMG-20260923-WA0058.jpg,CLEAN,Balcony doorway and curtains with a clean floor; no waste and no belongings left scattered.,portrait,external validation of the v1 demo model,no
v2_new_a11_a12,external_validation_inventory.csv,A11 C Double common,A11,Room,IMG-20260923-WA0059.jpg,A11 C Double common/IMG-20260923-WA0059.jpg,NOT_CLEAN,"Towels are dumped on the floor, cables trail across the tiles and a bucket and boxes are pushed under a crowded desk, making the room visibly untidy.",portrait,external validation of the v1 demo model,no
v2_new_a11_a12,external_validation_inventory.csv,A12 B Double attached,A12,Room,IMG-20260923-WA0073.jpg,A12 B Double attached/IMG-20260923-WA0073.jpg,CLEAN,"Bed is made with a few folded clothes, the chair is in place and bags are stored under the bed; tiles are clean and the room is reasonably organized.",portrait,external validation of the v1 demo model,no
v2_new_a11_a12,external_validation_inventory.csv,A12 B Double attached,A12,Room,IMG-20260923-WA0075.jpg,A12 B Double attached/IMG-20260923-WA0075.jpg,CLEAN,"Only one jacket is draped over the bed frame, the rest of the view is clean and clear with nothing scattered.",portrait,external validation of the v1 demo model,no
v2_new_a11_a12,external_validation_inventory.csv,A12 B Double attached,A12,Room,IMG-20260923-WA0078.jpg,A12 B Double attached/IMG-20260923-WA0078.jpg,CLEAN,"The room is generally neat and clean; some clothes are scattered on the cot and a few bags are kept on the floor, but this is localized untidiness rather than a housekeeping issue.",portrait,external validation of the v1 demo model,no
v2_new_a11_a12,external_validation_inventory.csv,A12 B Double attached,A12,Room,IMG-20260923-WA0079.jpg,A12 B Double attached/IMG-20260923-WA0079.jpg,CLEAN,"The room is generally neat and clean; some clothes are scattered on the cot and a few bags/luggage items are kept around the floor, but this is localized untidiness rather than a housekeeping issue.",portrait,external validation of the v1 demo model,no
v2_new_a11_a12,external_validation_inventory.csv,A12 B Double attached,A12,Room,IMG-20260923-WA0080.jpg,A12 B Double attached/IMG-20260923-WA0080.jpg,CLEAN,Doorway and desk with a stationery organiser and charger cables kept on the table; floor clean and belongings reasonably contained.,portrait,external validation of the v1 demo model,no
v2_new_a11_a12,external_validation_inventory.csv,A12 B Double attached,A12,Room,IMG-20260923-WA0081.jpg,A12 B Double attached/IMG-20260923-WA0081.jpg,CLEAN,"The room is generally neat and clean; some clothes are scattered on the cot and a few bags are kept around the floor, but this is localized untidiness rather than a housekeeping issue.",portrait,external validation of the v1 demo model,no
v2_new_a11_a12,external_validation_inventory.csv,A12 B Double attached,A12,Room,IMG-20260923-WA0082.jpg,A12 B Double attached/IMG-20260923-WA0082.jpg,CLEAN,"AC, curtain and wall are clean with no waste, dirt or scattered belongings in view.",portrait,external validation of the v1 demo model,no
v2_new_a11_a12,external_validation_inventory.csv,A12 B Double attached,A12,Room,IMG-20260923-WA0083.jpg,A12 B Double attached/IMG-20260923-WA0083.jpg,CLEAN,"The room is generally neat and clean, but some clothes are scattered on the cot and are not properly arranged.",portrait,external validation of the v1 demo model,no
v2_new_a11_a12,external_validation_inventory.csv,A12 C Double common,A12,Room,IMG-20260923-WA0092.jpg,A12 C Double common/IMG-20260923-WA0092.jpg,CLEAN,"Both beds are covered with bedding pulled back normally, the wardrobe and desk are in place and the floor is clean with no waste.",portrait,external validation of the v1 demo model,no
v2_new_a11_a12,external_validation_inventory.csv,A12 C Double common,A12,Room,IMG-20260923-WA0093.jpg,A12 C Double common/IMG-20260923-WA0093.jpg,CLEAN,"Doorway, a bag hung on the chair and a tidy desk; floor is clean and the room looks neat.",portrait,external validation of the v1 demo model,no
v2_new_a11_a12,external_validation_inventory.csv,A12 C Double common,A12,Room,IMG-20260923-WA0098.jpg,A12 C Double common/IMG-20260923-WA0098.jpg,CLEAN,"Bed headboard, pillows and a floor mat with clean tiles; nothing dirty or discarded.",portrait,external validation of the v1 demo model,no
v2_new_a11_a12,external_validation_inventory.csv,A12 C Double common,A12,Room,IMG-20260923-WA0099.jpg,A12 C Double common/IMG-20260923-WA0099.jpg,CLEAN,Bottles and jars are grouped on the table with a storage basket and carton kept underneath - contained rather than scattered; floor clean.,portrait,external validation of the v1 demo model,no
v2_new_a11_a12,external_validation_inventory.csv,A12 C Double common,A12,Room,IMG-20260923-WA0100.jpg,A12 C Double common/IMG-20260923-WA0100.jpg,CLEAN,Desk holds personal items in order with a bag on the chair; the floor is clean and no waste or residue is visible.,portrait,external validation of the v1 demo model,no
v2_new_a11_a12,external_validation_inventory.csv,A12 C Double common,A12,Room,IMG-20260923-WA0101.jpg,A12 C Double common/IMG-20260923-WA0101.jpg,CLEAN,A snack packet and bottle sit on the side table beside a made bed; belongings are reasonably arranged and the wall and floor are clean.,portrait,external validation of the v1 demo model,no
v1_original,cleanliness_manifest.csv,A33 A single attach,A33,Room,A33 A Single attach. .jpg,A33 A single attach/A33 A Single attach. .jpg,CLEAN,Tiles are clean with only a doormat; no visible housekeeping dirt or waste.,portrait,LOPO training+evaluation (5 properties),yes
v1_original,cleanliness_manifest.csv,A33 A single attach,A33,Room,IMG_20260918_104751.jpg,A33 A single attach/IMG_20260918_104751.jpg,CLEAN,Open floor clean with no debris; suitcase stood against the wall and a few desk items reasonably arranged.,portrait,LOPO training+evaluation (5 properties),yes
