image_file,image_path,room_id,property_group,dataset_version,human_label,human_reason,visual_pattern_tags,in_matched_16,v1_prediction,v1_probability,v1_threshold,v2frozen_prediction,v2frozen_probability,v2frozen_threshold,v2cnn_prediction,v2cnn_probability,v2cnn_threshold
A34 B double attach.jpg,A34 B double attach/A34 B double attach.jpg,A34 B double attach,A34,v1_original,NOT_CLEAN,"Tiles are clean with no housekeeping dirt, but clothes are dumped over a chair and over storage boxes with cartons and a jar crowding the corner - the room looks untidy.",books_bottles_small|boxes_packing|clothes,yes,NOT_CLEAN,0.256687,0.07,CLEAN,0.105266,0.27,CLEAN,0.444472,0.51
IMG_20260918_103815.jpg,A34 B double attach/IMG_20260918_103815.jpg,A34 B double attach,A34,v1_original,NOT_CLEAN,"Tiles clean, but five-plus pairs of shoes and a slipper lie spread across the floor, a yellow bag is dropped on the tiles and clothes are strewn over a bare mattress.",bags|bedding|clothes|shoes,yes,CLEAN,0.00507,0.07,CLEAN,0.010018,0.27,CLEAN,0.438609,0.51
IMG_20260918_103820.jpg,A34 B double attach/IMG_20260918_103820.jpg,A34 B double attach,A34,v1_original,NOT_CLEAN,"Clothes heaped over both mattresses, shoes and a bag on the floor, a packet left on the mattress; floor itself clean.",bags|bedding|books_bottles_small|clothes|shoes,yes,CLEAN,0.034952,0.07,CLEAN,0.059671,0.27,CLEAN,0.452234,0.51
IMG_20260918_103827.jpg,A34 B double attach/IMG_20260918_103827.jpg,A34 B double attach,A34,v1_original,NOT_CLEAN,"Clothes and a steel vessel dumped on the chair, slippers loose on the floor, mattress standing across the bathroom doorway.",bedding|books_bottles_small|clothes|shoes,yes,NOT_CLEAN,0.246638,0.07,CLEAN,0.133266,0.27,CLEAN,0.435236,0.51
IMG_20260918_103844.jpg,A34 B double attach/IMG_20260918_103844.jpg,A34 B double attach,A34,v1_original,NOT_CLEAN,"A cloth is thrown over the chair and trails onto the floor, with further scattered items and bottles visible in the room beyond.",books_bottles_small,yes,CLEAN,0.001939,0.07,CLEAN,0.002564,0.27,CLEAN,0.491374,0.51
IMG_20260918_103858.jpg,A34 B double attach/IMG_20260918_103858.jpg,A34 B double attach,A34,v1_original,NOT_CLEAN,"Open suitcase tipped onto the floor, yellow bag and slipper on the tiles, clothes across both mattresses.",bags|bedding|clothes|shoes,yes,NOT_CLEAN,0.76757,0.07,NOT_CLEAN,0.892592,0.27,CLEAN,0.503833,0.51
IMG_20260918_104015.jpg,A34 B double attach/IMG_20260918_104015.jpg,A34 B double attach,A34,v1_original,NOT_CLEAN,Clothes draped over two chairs with a carton and jar on the floor corner; tiles clean but the corner is unarranged.,books_bottles_small|boxes_packing|clothes,yes,NOT_CLEAN,0.29437,0.07,CLEAN,0.088893,0.27,CLEAN,0.477738,0.51
IMG_20260918_104031.jpg,A34 B double attach/IMG_20260918_104031.jpg,A34 B double attach,A34,v1_original,NOT_CLEAN,"Clothes over chairs, open suitcase on the floor, shoes below the bed; the room looks visibly untidy.",bags|clothes|shoes,yes,NOT_CLEAN,0.681812,0.07,NOT_CLEAN,0.496112,0.27,CLEAN,0.491473,0.51
IMG_20260918_111134.jpg,B41 C double common/IMG_20260918_111134.jpg,B41 C double common,B41,v1_original,NOT_CLEAN,Bed covered by a pile of loose clothes with more items stacked on the side table.,clothes,yes,CLEAN,0.021688,0.05,CLEAN,0.033309,0.29,NOT_CLEAN,0.822184,0.4
IMG_20260918_111209.jpg,B41 C double common/IMG_20260918_111209.jpg,B41 C double common,B41,v1_original,NOT_CLEAN,"Clothes heaped on the bed and dropped on the floor, paper bags and a backpack on the tiles, table crowded with bottles.",bags|books_bottles_small|clothes,yes,NOT_CLEAN,0.385636,0.05,NOT_CLEAN,0.692765,0.29,NOT_CLEAN,0.933447,0.4
IMG_20260918_114321.jpg,C31 B double attach/IMG_20260918_114321.jpg,C31 B double attach,C31,v1_original,NOT_CLEAN,"Opened carton with papers on the floor by the fridge, backpack dropped beside it, slippers loose and suitcase in the walkway; tiles themselves clean.",bags|boxes_packing|shoes,yes,CLEAN,0.014686,0.06,CLEAN,0.007338,0.24,NOT_CLEAN,0.39329,0.37
IMG_20260918_114326.jpg,C31 B double attach/IMG_20260918_114326.jpg,C31 B double attach,C31,v1_original,NOT_CLEAN,"Bedding tangled across the bed, packaging carton on the table, bag pushed under it and slippers on the floor.",bags|bedding|boxes_packing|shoes,yes,NOT_CLEAN,0.265754,0.06,CLEAN,0.147652,0.24,CLEAN,0.367815,0.37
IMG_20260918_114331.jpg,C31 B double attach/IMG_20260918_114331.jpg,C31 B double attach,C31,v1_original,NOT_CLEAN,"Bed unmade with bedding loose, opened package on the table and bags underneath; tiles clean but the room is visibly unarranged.",bags|bedding,yes,NOT_CLEAN,0.304879,0.06,NOT_CLEAN,0.403822,0.24,CLEAN,0.314876,0.37
IMG_20260918_114344.jpg,C31 B double attach/IMG_20260918_114344.jpg,C31 B double attach,C31,v1_original,NOT_CLEAN,"Bedding, clothes, a power strip and a plastic bag tangled together across the whole bed.",bags|bedding|boxes_packing|cables_electronics|clothes,yes,NOT_CLEAN,0.770813,0.06,NOT_CLEAN,0.84057,0.24,CLEAN,0.223383,0.37
IMG_20260918_114348.jpg,C31 B double attach/IMG_20260918_114348.jpg,C31 B double attach,C31,v1_original,NOT_CLEAN,"Torn shoe box and bottles on the wardrobes, vessels and cables piled on the floor and opened packaging on the ledge.",books_bottles_small|boxes_packing|cables_electronics|cookware,yes,NOT_CLEAN,0.803752,0.06,NOT_CLEAN,0.912515,0.24,NOT_CLEAN,0.422029,0.37
IMG_20260918_114351.jpg,C31 B double attach/IMG_20260918_114351.jpg,C31 B double attach,C31,v1_original,NOT_CLEAN,"Floor tiles visibly clean, but the corner holds vessels, cables and a bag on the floor with a slipper mid-room and a cloth thrown over the bed.",bags|books_bottles_small|cables_electronics|cookware|shoes,yes,NOT_CLEAN,0.098665,0.06,CLEAN,0.16948,0.24,CLEAN,0.238351,0.37
IMG-20260923-WA0053.jpg,A11 C Double common/IMG-20260923-WA0053.jpg,A11 C Double common,A11,v2_new_a11_a12,NOT_CLEAN,"Towels and cloth are dumped on the floor, cables trail across the tiles and boxes and slippers are left around the desk, so the room looks visibly untidy although the tiles are clean.",boxes_packing|cables_electronics|clothes|shoes,no,,,,CLEAN,0.025261,0.17,CLEAN,0.509439,0.51
IMG-20260923-WA0054.jpg,A11 C Double common/IMG-20260923-WA0054.jpg,A11 C Double common,A11,v2_new_a11_a12,NOT_CLEAN,"Cartons, shoes and bags are left on the floor between the beds and the desk is crowded with loose items, making the room visibly untidy despite the clean floor.",bags|boxes_packing|shoes,no,,,,NOT_CLEAN,0.816965,0.17,CLEAN,0.478435,0.51
IMG-20260923-WA0057.jpg,A11 C Double common/IMG-20260923-WA0057.jpg,A11 C Double common,A11,v2_new_a11_a12,NOT_CLEAN,"A backpack and bags are left on the floor beside the wardrobe and clothing is draped over the wardrobe edge, so the belongings are not properly arranged even though the floor is clean.",bags,no,,,,CLEAN,0.042368,0.17,CLEAN,0.257249,0.51
IMG-20260923-WA0059.jpg,A11 C Double common/IMG-20260923-WA0059.jpg,A11 C Double common,A11,v2_new_a11_a12,NOT_CLEAN,"Towels are dumped on the floor, cables trail across the tiles and a bucket and boxes are pushed under a crowded desk, making the room visibly untidy.",boxes_packing|cables_electronics|clothes,no,,,,NOT_CLEAN,0.393275,0.17,NOT_CLEAN,0.539962,0.51
IMG-20260923-WA0078.jpg,A12 B Double attached/IMG-20260923-WA0078.jpg,A12 B Double attached,A12,v2_new_a11_a12,NOT_CLEAN,"Clothes lie loose across the bed and several bags and a backpack are dropped on the floor beside it, so the belongings are unorganized and the room looks untidy.",bags|clothes,no,,,,CLEAN,0.035052,0.19,CLEAN,0.487991,0.5
IMG-20260923-WA0079.jpg,A12 B Double attached/IMG-20260923-WA0079.jpg,A12 B Double attached,A12,v2_new_a11_a12,NOT_CLEAN,Wide view shows clothes scattered over the bed with bags and luggage left around the floor; the belongings are not properly arranged.,bags|clothes,no,,,,NOT_CLEAN,0.256785,0.19,CLEAN,0.321715,0.5
IMG-20260923-WA0081.jpg,A12 B Double attached/IMG-20260923-WA0081.jpg,A12 B Double attached,A12,v2_new_a11_a12,NOT_CLEAN,"Clothes are strewn across the bed and a backpack, tote bags and a suitcase are dropped on the floor around it, making the room visibly untidy.",bags|clothes,no,,,,NOT_CLEAN,0.289675,0.19,CLEAN,0.466898,0.5
IMG-20260923-WA0083.jpg,A12 B Double attached/IMG-20260923-WA0083.jpg,A12 B Double attached,A12,v2_new_a11_a12,NOT_CLEAN,A crumpled quilt and several loose garments are strewn across the bed with a jacket thrown over the bed frame; the bedding and clothes are unorganized.,bedding|clothes,no,,,,CLEAN,0.001991,0.19,CLEAN,0.288641,0.5
